Tanggal,Meninggal (Indonesia),Sembuh (Indonesia),Dirawat (Indonesia),Positif (Indonesia),Meninggal (Jakarta),Sembuh (Jakarta),Self-Isolation (Jakarta),Dirawat (Jakarta),Positif (Jakarta),Positif Aktif (Jakarta),Meninggal Harian (Indonesia),Sembuh Harian (Indonesia),Dirawat Harian (Indonesia),Positif Harian (Indonesia),Meninggal Harian (Jakarta),Sembuh Harian (Jakarta),Self-Isolation Harian (Jakarta),Dirawat Harian (Jakarta),Positif Harian (Jakarta),Positif Aktif Harian (Jakarta)
5/27/2021,49907,1649187,98405,1797499,7271,408585,5280,5633,426769,10913,136,3924,2218,6278,21,566,287,66,940,353
5/28/2021,50100,1654557,98704,1803361,7288,409497,5161,5516,427462,10677,193,5370,299,5862,17,912,-119,-117,693,-236
05/29/2021,50262,1659974,99690,1809926,7296,410508,5004,5461,428269,10465,162,5417,986,6565,8,1011,-157,-55,807,-212
05/30/2021,50404,1663998,101639,1816041,7309,411495,5100,5429,429333,10529,142,4024,1949,6115,13,987,96,-32,1064,64
05/31/2021,50578,1669119,102006,1821703,7327,412074,5241,5417,430059,10658,174,5121,367,5662,18,579,141,-12,726,129
06/01/2021,50723,1674479,101325,1826527,7349,412593,5214,5422,430578,10636,145,5360,-681,4824,22,519,-27,5,519,-22
06/02/2021,50908,1680501,100364,1831773,7361,413179,5178,5461,431179,10639,185,6022,-961,5246,12,586,-36,39,601,3
06/03/2021,51095,1691593,94438,1837126,7381,413680,5402,5430,431893,10832,187,11092,-5926,5353,20,501,224,-31,714,193
06/04/2021,51296,1697543,94773,1843612,7402,414496,5414,5487,432799,10901,201,5950,335,6486,21,816,12,57,906,69
06/05/2021,51449,1701784,96973,1850206,7423,415317,5756,5620,434116,11376,153,4241,2200,6594,21,821,342,133,1317,475
06/06/2021,51612,1705971,98455,1856038,7438,416181,5966,5550,435135,11516,163,4187,1482,5832,15,864,210,-70,1019,140
06/07/2021,51803,1711565,99663,1863031,7457,416994,6261,5620,436332,11881,191,5594,1208,6993,19,813,295,70,1197,365
06/08/2021,51992,1717370,99963,1869325,7478,417997,6057,5555,437087,11612,189,5805,300,6294,21,1003,-204,-65,755,-269
06/09/2021,52162,1723253,101635,1877050,7499,419109,6120,5730,438458,11850,170,5883,1672,7725,21,1112,63,175,1371,238
06/10/2021,52373,1728914,104614,1885901,7523,420211,6991,5829,440554,12820,211,5661,2979,8851,24,1102,871,99,2096,970
06/11/2021,52566,1735144,106315,1894025,7543,421396,7750,6158,442847,13908,193,6230,1701,8124,20,1185,759,329,2293,1088
06/12/2021,52730,1740436,108324,1901490,7557,422121,8855,6769,445302,15624,164,5292,2009,7465,14,725,1105,611,2455,1716
06/13/2021,52879,1745091,113388,1911358,7571,423056,10034,7410,448071,17444,149,4655,5064,9868,14,935,1179,641,2769,1820
06/14/2021,53116,1751234,115197,1919547,7609,424088,11240,7856,450793,19096,237,6143,1809,8189,38,1032,1206,446,2722,1652
06/15/2021,53280,1757641,116787,1927708,7634,425417,11102,8142,452295,19244,164,6407,1590,8161,25,1329,-138,286,1502,148
06/16/2021,53476,1763870,120306,1937652,7665,426695,11555,8756,454671,20311,196,6229,3519,9944,31,1278,453,614,2376,1067
06/17/2021,53753,1771220,125303,1950276,7713,428764,13054,9284,458815,22338,277,7350,4997,12624,48,2069,1499,528,4144,2027
06/18/2021,54043,1779127,130096,1963266,7777,431264,14951,9560,463552,24511,290,7907,4793,12990,64,2500,1897,276,4737,2173
06/19/2021,54291,1786143,135738,1976172,7836,433499,16787,10325,468447,27112,248,7016,5642,12906,59,2235,1836,765,4895,2601
06/20/2021,54662,1792528,142719,1989909,7905,435982,19105,11037,474029,30142,371,6385,6981,13737,69,2483,2318,712,5582,3030
06/21/2021,54956,1801761,147728,2004445,7976,439007,20717,11343,479043,32060,294,9233,5009,14536,71,3025,1612,306,5014,1918
06/22/2021,55291,1810136,152686,2018113,8014,442059,21167,11024,482264,32191,335,8375,4958,13668,38,3052,450,-319,3221,131
06/23/2021,55594,1817303,160524,2033421,8057,443195,22868,12837,486957,35705,303,7167,7838,15308,43,1136,1701,1813,4693,3514
06/24/2021,55949,1826504,171542,2053995,8107,445718,26403,14234,494462,40637,355,9201,11018,20574,50,2523,3535,1397,7505,4932
06/25/2021,56371,1835061,181435,2072867,8177,448288,29325,15606,501396,44931,422,8557,9893,18872,70,2570,2922,1372,6934,4294
06/26/2021,56729,1842457,194776,2093962,8220,451013,33829,17605,510667,51434,358,7396,13341,21095,43,2725,4504,1999,9271,6503
06/27/2021,57138,1850481,207685,2115304,8269,454497,38464,18831,520061,57295,409,8024,12909,21342,49,3484,4635,1226,9394,5861
06/28/2021,57561,1859961,218476,2135998,8348,457935,42252,19874,528409,62126,423,9480,10791,20694,79,3438,3788,1043,8348,4831
06/29/2021,58024,1869606,228835,2156465,8426,461439,45504,20419,535788,65923,463,9645,10359,20467,78,3504,3252,545,7379,3797
6/30/2021,58491,1880413,239368,2178272,8486,464943,47829,22210,543468,70039,467,10807,10533,21807,60,3504,2325,1791,7680,4116
